College Name ,City and State ,Selectivity 
Kentucky Wesleyan College ," Owensboro, KY ",3
Lindsey Wilson College ," Columbia, KY ",3
Transylvania University ," Lexington, KY ",3
University of Louisville ," Louisville, KY ",3
,,
Dillard University ," New Orleans, LA ",3
Louisiana State University ," Baton Rouge, LA ",3
Loyola University New Orleans ," New Orleans, LA ",3
Tulane University ," New Orleans, LA ",1
University of New Orleans ," New Orleans, LA ",3
,,
Bates College ," Lewiston, ME ",1
Bowdoin College ," Brunswick, ME ",1
Colby College ," Waterville, ME ",1
College of the Atlantic ," Bar Harbor, ME ",2
,,
Coppin State University ," Baltimore, MD ",3
Goucher College ," Baltimore, MD ",3
Johns Hopkins University ," Baltimore, MD ",1
Loyola University Maryland ," Baltimore, MD ",3
McDaniel College ," Westminster, MD ",3
Morgan State University ," Baltimore, MD ",3
Salisbury University ," Salisbury, MD ",3
St. John's College-Annapolis ," Annapolis, MD ",2
St. Mary's College of Maryland ," St. Mary’s City, MD ",2
Towson University ," Towson, MD ",3
United States Naval Academy ," Annapolis, MD ",1
University of Maryland ," College Park, MD ",2
University of Maryland/Baltimore County ," Baltimore, MD ",3
Washington College ," Chestertown, MD ",3
Amherst College ," Amherst, MA ",1
Assumption College ," Worcester, MA ",3
Babson College ," Babson Park, MA ",2
Bard College at Simon's Rock ," Great Barrington, MA ",2
Bentley University ," Waltham, MA ",2
Boston College ," Chestnut Hill, MA ",1
Boston University ," Boston, MA ",2
Brandeis University ," Waltham, MA ",2
Clark University ," Worcester, MA ",2
College of the Holy Cross ," Worcester, MA ",1
Elms College ," Chicopee, MA ",3
Emerson College ," Boston, MA ",2
Emmanuel College ," Boston, MA ",3
Gordon College ," Wenham, MA ",3
Hampshire College ," Amherst, MA ",1
Harvard University/Harvard College ," Cambridge, MA ",1
Hellenic College/Holy Cross Greek Orthodox School of Theology ," Brookline, MA ",3
Massachusetts Institute of Technology ," Cambridge, MA ",1
Mount Holyoke College ," South Hadley, MA ",2
Northeastern University ," Boston, MA ",1
Simmons College ," Boston, MA ",3
Smith College ," Northampton, MA ",1
Stonehill College ," Easton, MA ",3
Tufts University ," Medford, MA ",1
University of Massachusetts Amherst ," Amherst, MA ",3
Wellesley College ," Wellesley, MA ",1
Wheaton College ," Norton, MA ",2
Williams College ," Williamstown, MA ",1
Worcester Polytechnic Institute ," Worcester, MA ",2
Albion College ," Albion, MI ",3
Alma College ," Alma, MI ",3
Calvin College ," Grand Rapids, MI ",3
"Concordia University, Ann Arbor "," Ann Arbor, MI ",3
Grand Valley State University ," Allendale, MI ",3
Hillsdale College ," Hillsdale, MI ",2
Hope College ," Holland, MI ",3
Kalamazoo College ," Kalamazoo, MI ",2
Kettering University ," Flint, MI ",2
Lawrence Technological University ," Southfield, MI ",3
Madonna University ," Livonia, MI ",3
Michigan State University ," East Lansing, MI ",3
Michigan Technological University ," Houghton, MI ",3
Northern Michigan University ," Marquette, MI ",3
Oakland University ," Rochester, MI ",3
University of Michigan/Ann Arbor ," Ann Arbor, MI ",2
University of Michigan/Dearborn ," Dearborn, MI ",3
Bethel University ," St. Paul, MN ",3
Carleton College ," Northfield, MN ",1
College of Saint Benedict ," St. Joseph, MN ",3
Gustavus Adolphus College ," St. Peter, MN ",2
Hamline University ," St. Paul, MN ",3
Macalester College ," St. Paul, MN ",1
St. Olaf College ," Northfield, MN ",2
University of Minnesota/Morris ," Morris, MN ",3
University of Minnesota/Twin Cities ," Minneapolis, MN ",2
University of Saint Thomas ," St. Paul, MN ",3
Millsaps College ," Jackson, MS ",3
Mississippi College ," Clinton, MS ",3
University of Mississippi ," University, MS ",3
Central Methodist University ," Fayette, MO ",3
College of the Ozarks ," Point Lookout, MO ",3
Drury University ," Springfield, MO ",3
Maryville University of Saint Louis ," St. Louis, MO ",3
Missouri State University ," Springfield, MO ",3
Missouri University of Science and Technology ," Rolla, MO ",3
Saint Louis University ," St. Louis, MO ",3
Stephens College ," Columbia, MO ",3
Truman State University ," Kirksville, MO ",2
University of Missouri - St. Louis ," St. Louis, MO ",3
University of Missouri/Columbia ," Columbia, MO ",1
Washington University in St. Louis ," St. Louis, MO ",1
